addr,coordinates,distance_to_mrt
172 ANG MO KIO AVE 4 SINGAPORE,"(1.3746617, 103.8366159)",0.355698518737
510 ANG MO KIO AVE 8 SINGAPORE,"(1.3734149, 103.8492068)",0.389115026568
610 ANG MO KIO AVE 4 SINGAPORE,"(1.3798478, 103.8394238)",0.649635648415
474 ANG MO KIO AVE 10 SINGAPORE,"(1.3628141, 103.8579939)",1.22719594379
604 ANG MO KIO AVE 5 SINGAPORE,"(1.37987235, 103.835974812884)",0.628508816661
154 ANG MO KIO AVE 5 SINGAPORE,"(1.3762767, 103.841239549632)",0.735591329584
110 ANG MO KIO AVE 4 SINGAPORE,"(1.3705542, 103.8373405)",0.132645541952
445 ANG MO KIO AVE 10 SINGAPORE,"(1.3670033, 103.8556385)",0.750330730557
476 ANG MO KIO AVE 10 SINGAPORE,"(1.3623793, 103.8576022)",1.22683483548
631 ANG MO KIO AVE 4 SINGAPORE,"(1.3797355, 103.8405759)",0.53536128775
155 ANG MO KIO AVE 4 SINGAPORE,"(1.37586315, 103.84009975238)",0.627314977231
560 ANG MO KIO AVE 10 SINGAPORE,"(1.3707919, 103.8591716)",1.07292063513
561 ANG MO KIO AVE 10 SINGAPORE,"(1.3705796, 103.8579033)",0.930455641687
405 ANG MO KIO AVE 10 SINGAPORE,"(1.3617045, 103.8536003)",1.01936669115
548 ANG MO KIO AVE 10 SINGAPORE,"(1.3728555, 103.857088)",0.897904588538
126 ANG MO KIO AVE 3 SINGAPORE,"(1.3716164, 103.8435905)",0.689278369846
558 ANG MO KIO AVE 10 SINGAPORE,"(1.3712314, 103.8591716)",1.0783689453
212 ANG MO KIO AVE 3 SINGAPORE,"(1.3688441, 103.8415977)",0.630440754618
333 ANG MO KIO AVE 1 SINGAPORE,"(1.3613511, 103.8516895)",0.983256006024
114 ANG MO KIO AVE 4 SINGAPORE,"(1.3726059, 103.836204571875)",0.133323850114
151 ANG MO KIO AVE 5 SINGAPORE,"(1.376726, 103.841121219951)",0.702657788678
503 ANG MO KIO AVE 5 SINGAPORE,"(1.3754681, 103.848935)",0.619341369943
230 ANG MO KIO AVE 3 SINGAPORE,"(1.3688659, 103.837884)",0.323754589337
157 ANG MO KIO AVE 4 SINGAPORE,"(1.3751265, 103.838979239058)",0.487633933646
213 ANG MO KIO AVE 3 SINGAPORE,"(1.367847, 103.841097)",0.644346044678
419 ANG MO KIO AVE 10 SINGAPORE,"(1.36529435, 103.854153769163)",0.725980766061
549 ANG MO KIO AVE 10 SINGAPORE,"(1.3732202, 103.8573598)",0.941130220175
201 ANG MO KIO AVE 3 SINGAPORE,"(1.3688265, 103.8445869)",0.56615313838
533 ANG MO KIO AVE 5 SINGAPORE,"(1.3741984, 103.8530114)",0.610159006045
571 ANG MO KIO AVE 3 SINGAPORE,"(1.3701286, 103.8547614)",0.578819761133
623 ANG MO KIO AVE 9 SINGAPORE,"(1.3826974, 103.8408731)",0.464836188069
465 ANG MO KIO AVE 10 SINGAPORE,"(1.36621315, 103.85717505)",0.942359599913
119 ANG MO KIO AVE 3 SINGAPORE,"(1.369558, 103.8447681)",0.534106658556
121 ANG MO KIO AVE 3 SINGAPORE,"(1.3697115, 103.8435905)",0.663838441914
418 ANG MO KIO AVE 10 SINGAPORE,"(1.36493535, 103.854060769163)",0.747908542885
607 ANG MO KIO AVE 4 SINGAPORE,"(1.3803646, 103.8387898)",0.666872874606
216 ANG MO KIO AVE 1 SINGAPORE,"(1.3662078, 103.8414166)",0.794999957592
103 ANG MO KIO AVE 3 SINGAPORE,"(1.3709821, 103.8393332)",0.31203376745
570 ANG MO KIO AVE 3 SINGAPORE,"(1.36988035, 103.855657859044)",0.678090393291
127 ANG MO KIO AVE 3 SINGAPORE,"(1.3711757, 103.8437717)",0.657908502393
159 ANG MO KIO AVE 4 SINGAPORE,"(1.3747864, 103.839858452951)",0.519961219898
173 ANG MO KIO AVE 4 SINGAPORE,"(1.3753976, 103.8360724)",0.440938605056
585 ANG MO KIO AVE 3 SINGAPORE,"(1.3706075, 103.852371680563)",0.321625402308
120 ANG MO KIO AVE 3 SINGAPORE,"(1.3701754, 103.8443359)",0.581144081443
421 ANG MO KIO AVE 10 SINGAPORE,"(1.3653871, 103.852975699547)",0.632345541017
178 ANG MO KIO AVE 4 SINGAPORE,"(1.3763809, 103.83682141002)",0.547551026246
417 ANG MO KIO AVE 10 SINGAPORE,"(1.36491055, 103.855198278349)",0.839649903454
509 ANG MO KIO AVE 8 SINGAPORE,"(1.3739957, 103.8501126)",0.455917724341
128 ANG MO KIO AVE 3 SINGAPORE,"(1.3708105, 103.8435905)",0.670515088492
328 ANG MO KIO AVE 3 SINGAPORE,"(1.3666828, 103.847848)",0.408371908492
463 ANG MO KIO AVE 10 SINGAPORE,"(1.3669193, 103.8574503)",0.939147991611
575 ANG MO KIO AVE 10 SINGAPORE,"(1.3714234, 103.8558242)",0.71599452117
587 ANG MO KIO AVE 3 SINGAPORE,"(1.3701783, 103.852467950739)",0.324611057949
218 ANG MO KIO AVE 1 SINGAPORE,"(1.3651188, 103.84174685)",0.910569469003
320 ANG MO KIO AVE 1 SINGAPORE,"(1.3655808, 103.8483915)",0.501036783262
348 ANG MO KIO AVE 3 SINGAPORE,"(1.36617, 103.847848)",0.459604692831
601 ANG MO KIO AVE 5 SINGAPORE,"(1.3810333, 103.835133678535)",0.503077778003
313 ANG MO KIO AVE 3 SINGAPORE,"(1.3666695, 103.8501126)",0.368101190861
523 ANG MO KIO AVE 5 SINGAPORE,"(1.375875, 103.8531429)",0.771571586862
108 ANG MO KIO AVE 4 SINGAPORE,"(1.3709152, 103.8382463)",0.196288220629
466 ANG MO KIO AVE 10 SINGAPORE,"(1.36584095, 103.8570313)",0.947200243821
105 ANG MO KIO AVE 4 SINGAPORE,"(1.3723838, 103.8377028)",0.16247731449
438 ANG MO KIO AVE 10 SINGAPORE,"(1.3595353, 103.855794323108)",1.23130870846
543 ANG MO KIO AVE 10 SINGAPORE,"(1.37431195, 103.856292981313)",0.893068114138
416 ANG MO KIO AVE 10 SINGAPORE,"(1.36455165, 103.855085669163)",0.857694971672
442 ANG MO KIO AVE 10 SINGAPORE,"(1.3656873, 103.8551856)",0.783729581978
573 ANG MO KIO AVE 3 SINGAPORE,"(1.37054805, 103.854838731161)",0.590976332981
542 ANG MO KIO AVE 10 SINGAPORE,"(1.3747544, 103.855901321724)",0.885779067484
544 ANG MO KIO AVE 10 SINGAPORE,"(1.3740315, 103.8564538)",0.891775382754
335 ANG MO KIO AVE 1 SINGAPORE,"(1.3632319, 103.850716999775)",0.756201573322
475 ANG MO KIO AVE 10 SINGAPORE,"(1.362655, 103.856514301373)",1.11933384416
572 ANG MO KIO AVE 3 SINGAPORE,"(1.3703091, 103.8558394)",0.699495653966
208 ANG MO KIO AVE 1 SINGAPORE,"(1.3654677, 103.8426847)",0.911239598798
231 ANG MO KIO AVE 3 SINGAPORE,"(1.3688328, 103.8372952)",0.303458254873
435 ANG MO KIO AVE 10 SINGAPORE,"(1.3677443, 103.8541891)",0.569431062622
467 ANG MO KIO AVE 10 SINGAPORE,"(1.3653901, 103.8568163)",0.95193858833
634 ANG MO KIO AVE 6 SINGAPORE,"(1.3816568, 103.8433188)",0.181363237057
504 ANG MO KIO AVE 8 SINGAPORE,"(1.3748087, 103.848935)",0.546540988864
414 ANG MO KIO AVE 10 SINGAPORE,"(1.3640848, 103.8536456)",0.793322528496
434 ANG MO KIO AVE 10 SINGAPORE,"(1.3679694, 103.8532832)",0.468137678735
346 ANG MO KIO AVE 3 SINGAPORE,"(1.3671343, 103.8497283)",0.311795100893
638 ANG MO KIO AVE 6 SINGAPORE,"(1.3804827, 103.8435905)",0.206871003717
101 ANG MO KIO AVE 3 SINGAPORE,"(1.3702489, 103.8394238)",0.34500458219
354 ANG MO KIO ST 32 SINGAPORE,"(1.3639116, 103.8519697)",0.721240546364
648 ANG MO KIO AVE 5 SINGAPORE,"(1.3782826, 103.8438623)",0.404623520522
351 ANG MO KIO ST 32 SINGAPORE,"(1.3643093, 103.850309063607)",0.630893332838
716 ANG MO KIO AVE 6 SINGAPORE,"(1.37146415, 103.845886697418)",0.442209164546
700A ANG MO KIO AVE 6 SINGAPORE,"(1.3698729, 103.845911137312)",0.405466681132
596D ANG MO KIO ST 52 SINGAPORE,"(1.371972, 103.850869)",0.269500352987
460 ANG MO KIO AVE 10 SINGAPORE,"(1.3663606, 103.8590357)",1.12596271615
700B ANG MO KIO AVE 6 SINGAPORE,"(1.369449, 103.846244110141)",0.372310182688
437 ANG MO KIO AVE 10 SINGAPORE,"(1.3672748, 103.8530567)",0.488498456484
253 ANG MO KIO ST 21 SINGAPORE,"(1.3695867, 103.834466608265)",0.313197852987
596C ANG MO KIO ST 52 SINGAPORE,"(1.372111, 103.850064)",0.248606526993
316A ANG MO KIO ST 31 SINGAPORE,"(1.36460965, 103.847080318766)",0.652894909678
439 ANG MO KIO AVE 10 SINGAPORE,"(1.3663578, 103.8532832)",0.574045225886
350 ANG MO KIO ST 32 SINGAPORE,"(1.3636951, 103.850073370124)",0.696003003337
353 ANG MO KIO ST 32 SINGAPORE,"(1.3640602, 103.8516073)",0.691633725385
700C ANG MO KIO AVE 6 SINGAPORE,"(1.369514, 103.846522455121)",0.340659046212
620 BEDOK RESERVOIR RD SINGAPORE,"(1.3338644, 103.918253439676)",0.102277030994
618 BEDOK RESERVOIR RD SINGAPORE,"(1.33301505, 103.917025454947)",0.219317367376
504 BEDOK NTH ST 3 SINGAPORE,"(1.3318724, 103.9323222)",0.52664573667
503 BEDOK NTH ST 3 SINGAPORE,"(1.3314692, 103.9324581)",0.57192933208
525 BEDOK NTH ST 3 SINGAPORE,"(1.3347268, 103.9290365)",0.412482312273
709 BEDOK RESERVOIR RD SINGAPORE,"(1.33562865, 103.922141852429)",0.473218331449
74 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
20 CHAI CHEE RD SINGAPORE,"(1.3259937, 103.923105225171)",0.796843072392
528 BEDOK NTH ST 3 SINGAPORE,"(1.3348078, 103.9276769)",0.544760480101
3 BEDOK STH AVE 1 SINGAPORE,"(1.3219218, 103.93321275)",0.425633109567
109 BEDOK NTH RD SINGAPORE,"(1.3269887, 103.933090797197)",0.480799634455
632 BEDOK RESERVOIR RD SINGAPORE,"(1.3321611, 103.913688)",0.556625965035
21 CHAI CHEE RD SINGAPORE,"(1.3260669, 103.922243859298)",0.891230525633
89 BEDOK NTH ST 4 SINGAPORE,"(1.3326993, 103.93801)",0.77528853438
534 BEDOK NTH ST 3 SINGAPORE,"(1.333142, 103.9246859)",0.766579841161
