state,business_id,name,postal_code,latitude,longitude
NC,mLwM-h2YhXl2NCgdS84_Bw,South Florida Style Chicken & Ribs,28215,35.23687,-80.7419759
AZ,duHFBe87uNSXImQmvBh87Q,Blimpie,85016,33.5059283,-112.0388474
NC,SDMRxmcKPNt1AHPBKqO64Q,Applebee's,28105,35.135196,-80.7146829
NC,iFEiMJoEqyB9O8OUNSdLzA,China Garden,28164,35.3550853,-81.0872676
PA,HmI9nhgOkrXlUr6KZGZZew,Rocky's,15224,40.4613503,-79.9481126
WI,TXiEgINSZ75d3EtvLvkc4Q,Red Lobster,53704,43.128034,-89.307157
WI,PV9CdNFDOX4_zWm3Sy3W8g,Quaker Steak & Lube,53562,43.097806,-89.519217
AZ,HRFJlSAP_EBU_MpPPmpUDQ,Domino's Pizza,85225,33.3350578,-111.8430762
AZ,FLTbKRmBytP1AbjWSPEeyw,Szechuan Cuisine,85226,33.3187306943,-111.943387985
AZ,1AxEmgv8Dsr3iU9Aa40jPw,"Nabers Music, Bar & Eats",85226,33.3162778,-111.9680183
IL,-2q4dnUw0gGJniGW2aPamQ,Fiesta Ranchera,61820,40.0940675,-88.2457853
NV,LDMCrFlGIFUN6L-FEFgzWg,El Pollo Loco,89030,36.1962026,-115.1167987
NV,QTH_XGh4rWYdd0fTW-tUDw,Baja Fresh Mexican Grill,89103,36.1125192,-115.2426053
AZ,01xXe2m_z048W5gcBFpoJA,Five Guys,85008,33.4780429336,-111.986370289
OH,Bl7Y-ATTzXytQnCceg5k6w,Sidewalk Cafe Painesville,44077,41.7260294,-81.2409431
IL,fl2TPNWrchkCbNEg0utjvw,Steak 'n Shake,61802,40.1331967,-88.198577
NV,DiA78qPtp6rfRNdomzjBbw,Joshan Filipino Oriental Market,89122,36.0833844974,-115.033994983
AZ,d2fkRF67jiASrXxHfbmJuA,Jade Palace,85224,33.3192304,-111.8741469
NC,weXoqWqLgzMOf5Yz-qiujw,Bellacino's Pizza & Grinders,28075,35.3264265,-80.6467724
AZ,wsyNO9Ac4gqGYTBfNeM1VA,Don Ruben's Mexican Restaurant,85304,33.5958491,-112.1524877
NV,YTqtM2WFhcMZGeAGA08Cfg,Mariscos Playa Escondida,89104,36.159363,-115.135949
NV,Oto60yDwk1z72WmfWEYrjg,Baja Miguel's,89183,36.0121912,-115.1739932
NC,5GJ60TyviQnyg2257CAGuA,FūD at Salud,28205,35.2477994,-80.8040482
AZ,wJY74R0zAgjxvBf-d4gm9g,Kelly's At Southbridge,85251,33.4987215,-111.9274506
OH,7HFRdxVttyY9GiMpywhhYw,Zeppe's Pizzeria,44067,41.342763,-81.529281
PA,G7QZWVm-ytyKHpvUq3ggFA,Sal's New York Pizzeria,15203,40.428624,-79.9843691
PA,0u2xwNy07-z3gv0tpuJX2Q,Subway,15668,40.428776,-79.68838
PA,ZPVhjltJcQ-YnaoV-h-FeA,Arpino Trattoria,15220,40.394199,-80.062986
AZ,XuLXX5B5W1P-iNpgXmqmjQ,Subway,85338,33.484027,-112.363106
PA,uYYXLcDNQhgUIQcfauaKrw,Chub's Place,15090,40.5896807,-80.0182093
OH,lXcxSdPa2m__LqhsaL9t9A,Firehouse Subs,44060,41.6764311,-81.3117527
OH,Pawavw9U8rjxWVPU-RB7LA,Richie Chan's Chinese Restaurant,44118,41.5014129,-81.5659822
AZ,aP2Ma-Wx2lydppntCGhNSg,Gecko Grill,85234,33.3778537807,-111.740792058
OH,RzVHK8Jfcy8RvXjn_z3OBw,Romeo's Pizza,44067,41.313373,-81.532933
NC,er56AAp9r8mEJBAhaG02Xg,Island Hub Restaurant & Lounge,28205,35.1999220757,-80.7956879586
NV,mUk-0jToBuzk4KaDXp-uew,Taza Indian Kitchen,89123,36.0165803,-115.1187014
AZ,XFQbescZxNRAb2U-NwdLlg,Claim Jumper,85254,33.5826712,-111.929119
NV,1CP8aJa8ILlfM5deroar0Q,Wingstop,89103,36.1002514,-115.2098938
AZ,c3Ax5jq5kyekKWUgiaVJSw,Papa John's Pizza,85250,33.5391861,-111.9206493
OH,jNbFKHT7j4XIxCsuKRC8WQ,Crooked River BBQ + Beer,44060,41.6745459,-81.3131701
AZ,sQ6DZZLLJRfwUr0eDWKDDg,Tott's Asian Diner,85226,33.3211976,-111.9117114
IL,MqhxKfI7oMjUTMqH2gnhyg,McDonald's,61820,40.1375686,-88.2430516
AZ,EPkV2_H0TRcARa-2IFZ-2A,Papa John's Pizza,85282,33.4080579,-111.9469356
OH,gQ93Na9yBJghX8HzH7smwQ,China One Buffet,44053,41.4182365408,-82.1990116686
NV,TYGVaav4hWZioQlk9Ig78A,Cody's Smokin' Barbecue,89102,36.1510984,-115.1598044
PA,EUgHFeAvock2Ut3iWPlG8Q,Taco Bell,15146,40.4384319694,-79.7679416151
NV,Wbi-x-1Nbn6LFCMOSN6F5Q,Cafe Rio,89131,36.2794672,-115.2080128
NC,U2a9GUewP6LyOilaQhue9g,Rock Store Bar-B-Q,28104,35.0819793,-80.6925926
OH,vEsAPc0fEDP1YPeSQanxfQ,Steak 'n Shake,44035,41.420655,-82.077622
AZ,pPNcs_59jNiQSs0Yq13bGw,Friday's Front Row Sports Grill,85004,33.4453626,-112.0674961
AZ,5sTFevXhGx01eLT4wF7Urg,Tanzy,85254,33.624424933,-111.923811682
NV,W-3Sy3fy85mQdd0ZNFKIiw,Applebee's,89103,36.1252695702,-115.243588275
OH,bGSVy6nFFzpRMERVta3JiQ,San Francisco Stir Fry,44040,41.6729943,-81.339388
AZ,RnWZegos0nAjpPV00PPxBw,Pizza Hut,85392,33.4923751,-112.2893717
PA,iofGoeP8tLB7Ny4GNfjxvg,The Cozy Cafe,15220,40.4416303,-80.0330321
NV,IxU1xb7j8SM9WPghWWlE_Q,Sucker-Punch Grill,89015,36.0134003841,-114.957476078
AZ,TqAXKLF1P5XAIG9Uq2eUmQ,El Pollo Correteado,85009,33.4659515,-112.1215774
AZ,fbLYRHIZAt3q839whhaBUg,Oregano's Pizza Bistro,85032,33.5996610763,-111.98229337
OH,wkhxaIt6S9bQ0twAD9Svpw,Giuseppes Pizza & Subs,44143,41.5408137,-81.4976768
PA,jW4-bGuymLGlB9OBsTq3TA,Toscana Brick Oven,15317,40.275572,-80.1667438
AZ,Lazn_BTkm14Fw82EE_oUgQ,High Octane Lounge,85374,33.6392055,-112.3479607
NC,GhGYQ5WI4LdH53591fUMMA,WAM Asian Grill,28209,35.1716684,-80.8492639
NV,rihKlAiPgJa5XcpZ1h9-bw,KFC,89149,36.2707001,-115.263
OH,TRgT7-WCdqKZWzMshEzk9g,American Croatian Lodge,44095,41.6627416,-81.4411027
NC,v12CYnuoOSA_DHzMBfbolw,Coffee Cup,28205,35.2454677,-80.8094402
AZ,0kyhbUW6NkpYjJzFBZ64vQ,The Cider Mill,85251,33.493385,-111.925028
AZ,dXoeLzpG72P7F2Lwa01riQ,Chipotle Mexican Grill,85374,33.6382111448,-112.359094705
NC,NMw6zTXoZDEzNchVIfL1pQ,Don Pedro Mexican Restaurant,28263,35.1358576316,-80.9373579923
AZ,1Ds8V2c7LlwSAA3O-9f4cA,McDonald's,85004,33.4297449,-112.065708
NV,kqO-dgJ_Ww17qVJXsPTfnw,Golden Cake,89121,36.0998549,-115.0766815
AZ,Z7nGSKvjmHNRkXtoMxA3Jw,Logan's Roadhouse,85085,33.7124261365,-112.112801671
NV,L4PI4kh8plShtrcWt6aBTQ,Pizza Hut,89015,36.0315955637,-114.970038554
NV,eA8RJa5U2Ep8Ks3ECE6xfA,Haggen Food & Pharmacy,89015,36.0416401,-114.9812631
PA,cdX8lf5BsJjpC82dzgtBZA,Bar 3,15209,40.4814083,-79.9748152
AZ,tM_MMrMFwf5rJv9rbu4NQQ,Pete's Fish & Chips,85210,33.414436,-111.8233017
IL,Q2bnRzJ8AC-3lWyQY8DZqA,Blues,61803,40.1068632,-88.2218637
NV,vjLgZg0DH_9xwcujFNb0pA,BJ's Buffet,89103,36.099494,-115.2083645
NC,hupeXWY97YCwZQYC79F6hQ,Panera Bread,28273,35.144005,-80.932129
AZ,rtcWSNA3HVehrnUDVphYoA,Subway,85225,33.2930604,-111.8239695
WI,0kzPQQL8wVcHlBQzMdRdWQ,Thirsty Goat,53711,43.0202796,-89.4192092
AZ,5TXQxcwEfqzBDbMq2zmBPQ,Verona Chophouse,85226,33.2907071,-111.9456801
IL,XtJj67rKT16a4tQw7bxtyw,Basil Thai Cafe,61820,40.110554,-88.232373
NV,O3OH5IEFMPtz7mPKakPZ3Q,Japaneiro,89113,36.0552046,-115.2509345
PA,koqazXBW7wAZVry72u5vEw,Carol of Casey's Pizza,15235,40.4641337,-79.8281362
NV,q7OKOkEK-pgAQNjDiVd4bA,Kilroy's,89162,36.159785,-115.261803
PA,veU3mhOn8kF87VfE_JvKlg,Grandslam Pizza,15239,40.4659202,-79.7053832
AZ,whAwdYVty-jSNRhrYT2zHA,Pappadeaux Seafood Kitchen,85029,33.5876541,-112.1157964
AZ,puPY7gVy7RCz8bK1zkzdoQ,Golden Valley Chinese Restaurant,85210,33.3795863,-111.8499629
AZ,adTbcC7JgvzYg7AD_Ga-rg,Eliana's Restaurant,85008,33.4668546,-112.0298948
SC,u5Xa3N90_jhbBGKU2e4Y3w,Angelos of Fort Mill,29715,35.075757,-80.9363545
NV,y-O3h7CV6X6P5ey1ZFcQwA,Murdock Meals,89148,36.0612353,-115.2896852
AZ,gpivFNirREOyEAwxVebR5g,Wendy's,85283,33.3778358,-111.9607244
PA,FmBKx7mv-jdh6KJ7Vq2v5w,Sweet Basil La Filipiniana,15217,40.434144,-79.9230179
NV,QMabpBYQ2qAh16GPbCvMrA,Wendy's,89074,36.0333471779,-115.046293381
PA,VobZRj98tDH7AaojYJD8Jg,Applebee's,15668,40.4224042847,-79.660028756
OH,ky4AyA_y6gx20tf95mZxSA,Bass Lake Taverne Inn,44024,41.570459,-81.204205
AZ,qy2uJwO1D8pT96SwGY3ubg,Jack in the Box,85383,33.7102237636,-112.269834449
AZ,nzbQXU2x7O8oucKGthUT3g,Grimaldi's Pizzeria,85255,33.6741553034,-111.887854198
AZ,Dwj3s0jTQM7-r8joZSe2sw,McDonald's,85323,33.4592576,-112.3380645
PA,2LVuwl-eH-8PYikyFmqcTQ,Papa Da Vinci,15213,40.434609,-79.9554667
OH,VUb97h3RTg6InKdfgB49Bw,Happy Dog at the Euclid Tavern,44106,41.5111069,-81.6026252
PA,F6Ujpp1Kh7L_3uUfoUsTlw,Buster's Pizza & Cream of White Oak,15131,40.3239065,-79.7897243
NV,hMe7hiCo90jnMXyzmPnO6Q,Alfonso's Mexican Food,89031,36.2603405,-115.1171278
WI,V80NaT5ZnfuA31yW3Y5Pdg,El Grito Taqueria,53703,43.0747316,-89.3862126
OH,le4fLtpLE3PdGnqRFr537w,Marco's Pizza,44070,41.432007,-81.8829151
OH,CtYWpX_cy1YdZgoKtS0Tqg,Happys Pizza,44102,41.4827824,-81.7362257
WI,sUzvletCYiIaZD_hbnNLEA,Taco Bell,53716,43.0477,-89.3246
AZ,XvhSYgpJx6mc5MycXac-Iw,Jimmy John's,85392,33.4652553,-112.277288
NV,eS76100l3h7Ollb5s3_M4A,Mad House Coffee,89123,36.0280675,-115.1189137
AZ,K8ZeT5Y5L0SDh18wO0ZOAQ,Famous Potato,85281,33.425763,-111.939614
OH,G0EJjh-dqJBmSEhQRog-hQ,Swensons Drive-In Restaurants,44224,41.1549076,-81.4009335
AZ,KBN8wcnBr9KRB4TPa0unsQ,Black Forest Haus,85018,33.495018,-111.975898
AZ,7fq6fN58ogXAzXzxywFX1Q,El Asadero,85203,33.415418,-111.815311
OH,0cxO1Lx2Pi7u6ftWX3Wksg,Oinky's Pork Chop Heaven,44128,41.4352500754,-81.5213585423
AZ,gKXsFVhWyK7MLQhSKG5_mA,Uncle Sam's,85382,33.655723,-112.2370377
AZ,r5PLDU-4mSbde5XekTXSCA,Defalco's Italian Grocery,85257,33.4743712,-111.927001
PA,T96EG2iK3ZSv9ACiSFw4cw,Fuji Sushi & Grill,15136,40.4440194463,-80.1461382564
NC,BCBLDV5sxvOebPRswPFFgA,Wendy's,28208,35.2461023,-80.8932396
NV,JM9LVlM_o3k_CbCErIQYAg,Panda Express,89005,35.9690008,-114.8559293
AZ,NM3iiGNrwoyNKWXiRT-nKA,Omoide Sushi & Noodle Bar,85004,33.4529079822,-112.068919726
AZ,9Cq_NVvWZOEAzmE7tqJgmg,Short Leash Hot Dogs Food Truck,85004,33.4589187,-112.0722006
NV,gSR9bmBa0HacSuMX5BIAxg,Marie Callender's Restaurant & Bakery,89117,36.1435013,-115.2695428
AZ,uxmL96QngoslrtMXaQ80nA,Royal Jasmine Thai Restaurant,85395,33.4926735,-112.3801191
NV,hQ8JN52MjxbMUPfuhyL7jQ,Raising Cane's,89030,36.2402794,-115.1216168
NC,PI2wL546eakla9qPI3vqhA,Gado Gado,28106,35.1165324,-80.7221946
OH,n8GCGa5gX17Ibix5VsGMuw,Popeyes Louisiana Kitchen,44128,41.4306838,-81.5249463
AZ,Jk2XwkySutg0glHVcv1_Pw,CoR Tapas & Wine,85014,33.5021428,-112.0565062
AZ,hJJm0DFmG57zwSeNkeIuRQ,Taco Bell,85032,33.6261398,-112.0136823
NV,rN3gHTjqx5sOnoUpJ-6jyg,Edge Steakhouse,89109,36.1362575,-115.1512526
AZ,eCJDiRPoSuA0bsb7F1gNUA,Asian Cafe,85023,33.6117852,-112.1105198
AZ,Zv77o3aDuNDY0t3fCU2ebQ,Raimondo's,85013,33.5102274,-112.0806121
AZ,Q1LrCiy0D6uqliWKe-BxtQ,Tertio Wine Bar,85012,33.488807,-112.065237
AZ,gqGrMnDYEToXOYajBuEvKQ,Pizza Hut,85301,33.5241484,-112.2019585
NV,LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,89109,36.1190940945,-115.177009553
NC,kLVK8y8YQeRkJeld5eZbwg,Macado's,28027,35.3692222,-80.7221259
AZ,dD6JQo5tCNtOtauaLaT0sg,Oggi's,85308,33.6663937252,-112.201813809
NC,Us7Oe7hwI3J9rJ2TZs8gSw,Bojangles' Famous Chicken 'n Biscuits,28216,35.3235541,-80.9467086
NV,REJPrXEZly4PDQNmiMGI8Q,Robertos Taco Shop,89129,36.2186971729,-115.313933321
WI,CYFfha5CmApflbpN1AhWHQ,Melted,53703,43.073216,-89.382215
NV,YQ--LJ7pvjiDSqNv0TuKTQ,Grimaldi's Pizzeria,89109,36.1248767264,-115.169034004
NV,4hG2j_ibsNblDgqei05U_g,Social House,89158,36.108713,-115.173192
PA,afXMX5llxcMFzbaPaBBm6A,D'Imperio's Restaurant,15235,40.4293092,-79.81408
NV,_XM07jbQGliVPwnAfyyGUA,Yafo Kosher Restaurant,89109,36.1314439,-115.1648858
NV,mgc8BmE6Tdt4MVOy6siZoA,Food Court at Fashion Show Mall,89109,36.1272241,-115.1715512
NV,sPd9YmvS6eSWzTvqowcBXA,Tropical Smoothie Cafe,89169,36.1071249,-115.1526042
AZ,g-aAe8SqZlZTnN3oA8mNlw,Del Taco,85040,33.4076914431,-111.978611678
AZ,vrpW_ZIjHvsAX3ByyeHjCA,Caffe Boa Ahwatukee,85044,33.3476259,-111.9760265
AZ,vPmk2RaVKYlvjvEqBr2abA,Denny's,85233,33.3747317,-111.807617247
NV,JXYeMN_VyIZyrveANnIVpA,Subway,89104,36.14409793,-115.15543874
AZ,2skQeu3C36VCiB653MIfrw,Bootleggers Modern American Smokehouse,85028,33.581757,-112.008454
AZ,epoEBSCz3Mh4X-vVvcioNA,BiCE Ristorante,85255,33.67895,-111.80694
OH,1N1pVa5SYqzopS0wvlAavw,Burger King,44060,41.715068,-81.299641
OH,3SQU0IgQ6mbV0buzH9XAZA,Tommy's Subs,44060,41.6591709677,-81.3673250377
AZ,xSZQa9ez44TJ0tiVHSY1Mw,Tacos Mexico,85009,33.4662846698,-112.126218751
AZ,_3o05Wdjfc8jOvGZ_q177Q,Mi Amigo's Mexican Grill,85206,33.3935671,-111.6895637
NV,WgCx3vMpALkUo4w-zrHjhg,Manna Mediterranean,89014,36.0395488,-115.0298677
AZ,LHYFHwPo1hKp8plKsMPXmA,Maui Wowi Hawaiian,85295,33.3068352,-111.7531122
OH,bGWI4ukY0PlnXzKICDZdGA,Dairy Queen,44070,41.4266412,-81.8938999
AZ,v4qyBRpTBvOO55M4IAqNNg,Tomo Japanese Cuisine,85395,33.463543,-112.341878
AZ,KMAC_44vOPCVH-E_doOisQ,Mambo's Dominican Kitchen,85225,33.3344883,-111.8428221
AZ,UkqdcwYv6_c-yW1JPCKlUA,Rinaldi's Italian Deli,85254,33.6342998,-111.9241346
NC,vn_UN1JnA57hpayj6ETpRQ,IHOP,28262,35.303872,-80.749548
AZ,K-uQkfSUTwu5LIwPB4b_vg,The Mission Old Town,85251,33.492287,-111.924273
AZ,fN7ds9Dk4IfMsh4RT9x82w,J's Kaiyo Sushi & Bar,85251,33.5004819,-111.9180171
NC,kByQQ4yd7ZbA0MAQKmRVvg,TGI Fridays,28027,35.370587,-80.718237
WI,Nc0xqiAmS2OTxPrlvQrJ4A,Kipp's Down Home Cookin',53711,43.0671551,-89.4141924
AZ,1mkDrJRu3VABKy95gxD-Hg,Charlie D's Catfish & Chicken,85034,33.446778,-112.056714
AZ,X6iU1PGjoztDwFdhV4RumA,Wendy's,85209,33.3900539,-111.6822375
AZ,Va-VdrGmGiqJ4KfLnCk6Yg,Wynder Dogs,85012,33.5066764,-112.0733964
AZ,0YWsZ1Ie9e04DFfzFij7yQ,Famous Sam's,85301,33.5384328,-112.1527588
OH,6DCTAExBd7sp92BcAl80Qw,Brimfield Bread Oven,44240,41.0971991322,-81.3457443193
WI,l6ChWz5fwhkvuEmThuFl5w,Mother Fool's Coffeehouse,53703,43.0819293,-89.36579
AZ,11bhfBbcFypczdz3N_w6iw,Senor Taco,85340,33.4940968351,-112.337768279
NC,MV9fUwgI2AQa4uZArynRlA,Monterrey,28210,35.089838,-80.868412
PA,85nvKTJSN8byoeGRxzGkug,"First Watch - Breakfast, Brunch & Lunch",15237,40.5716935,-80.0228519
AZ,LP6qd2sUvDcL2LoQjULk3g,Comfort Cravings,85003,33.4495511,-112.0789355
PA,E8duZ9YKVLn_n75lYY3Hyw,Engine House 25,15201,40.4625174,-79.9678969
IL,89-bwvH5mWWOOb00VTUyFQ,Applebee's,61874,40.0695988403,-88.2490539551
OH,bRrr2tmhBnE1uGFqmdFUhg,Wendy's,44011,41.4672169,-82.0195644
AZ,4P6hZh7aieaZJXShzP3JQg,Oaxaca Restaurant,85020,33.5668514,-112.0559069
NC,CzmyMl4jnlyQYVaf3YmDYQ,Beer Bourbon & BBQ Festival,21211,39.3289463,-76.6383832
NV,Ohy6TtDSeJkVAtIHXP7pMw,Subway,89169,36.1181159041,-115.154355116
PA,TFdLM8R_7Pf1xVeBNKl0hg,Casbah,15206,40.458138,-79.924797
NV,Piw03nxAXZF86UYaVrDn1g,Sbarro the Italian Eatery,89123,36.0549747,-115.1690569
NC,K7047_-at7Ydi4gl2UuS_w,Arby's,28134,35.0912601,-80.8857292
